# known_readings.tsv — 検証済みの安定読み（正解源）
# カラム: surface / reading / category / context / source_type / source_url / confidence / verified_at / note
# 昇格ルール: 全動画で読みが安定・文脈依存でない・典拠か実績あり・独立監査で衝突なし・
#             少なくとも1回 完成Hatsuon/YMM4実機で問題なし（詳細: YMM4_dic漏れゼロ改善案_天才会議_2026-06-30.md）
# ここに載った語は「台本に出たら dic 登録必須」かつ「読みが違えば FAIL」になる。
三河後風土記	みかわごふどき	史料名	家康影武者説	audit	 	high	2026-06-30	家康回で漏れた語
方広寺	ほうこうじ	寺社	家康影武者説	audit	 	high	2026-06-30
方広寺の鐘	ほうこうじのかね	寺社・器物	家康影武者説	audit	 	high	2026-06-30	フレーズごと1エントリ
葦	あし	自然物	家康影武者説	audit	 	high	2026-06-30	よし読みの文脈なら per-line override で対応（グローバル固定はしない前提の既定読み）
広忠	ひろただ	人名	松平広忠	audit	 	high	2026-06-30	家康回で漏れた語
大火傷	おおやけど	訓読み複合語	家康影武者説	audit	 	high	2026-06-30	家康回で漏れた語
天海	てんかい	人名・法名	南光坊天海	audit	 	high	2026-06-30	家康回で漏れた語
南光坊天海	なんこうぼうてんかい	人名・法名	家康影武者説	audit	 	high	2026-06-30
隆慶一郎	りゅうけいいちろう	著者名	影武者徳川家康	audit	 	high	2026-06-30	家康回で漏れた語
村岡素一郎	むらおかもといちろう	著者名	史疑徳川家康事跡	audit	 	high	2026-06-30	むらおかそいちろう は誤読（bad_readings 参照）
民友社	みんゆうしゃ	出版社名	史疑刊行元	audit	 	high	2026-06-30
岡崎城	おかざきじょう	城名	家康出生地	audit	 	high	2026-06-30
史疑徳川家康事跡	しぎとくがわいえやすじせき	書名	村岡素一郎著	audit	 	high	2026-06-30
駿府政事録	すんぷせいじろく	史料名	家康影武者説	audit	 	high	2026-06-30
桑田忠親	くわたただちか	人名	歴史学者	audit	 	high	2026-06-30
三河一向一揆	みかわいっこういっき	事件名	家康三大危機	audit	 	high	2026-06-30
三方ヶ原	みかたがはら	地名・戦	家康三大危機	audit	 	high	2026-06-30
神君伊賀越え	しんくんいがごえ	事件名	家康三大危機	audit	 	high	2026-06-30
小牧長久手	こまきながくて	戦	対秀吉	audit	 	high	2026-06-30
国家安康	こっかあんこう	鐘銘	方広寺鐘銘事件	audit	 	high	2026-06-30
堀	ほり	建造物	大坂の陣ほか	audit	 	high	2026-06-30	単漢字リスク語
鐘の銘	かねのめい	器物	方広寺	audit	 	high	2026-06-30
